episode_number,success_episode,failure_episode,episode_reward,episode_step,ego_safety_score,social_safety_score,timelapse
671,True,False,965,84,,,
672,True,False,535,94,,,
673,True,False,1010,86,,,
674,True,False,986,69,,,
675,True,False,873,47,,,
676,True,False,927,50,,,
677,True,False,904,48,,,
678,True,False,553,71,,,
679,True,False,836,53,,,
680,True,False,844,38,,,
681,True,False,821,37,,,
682,True,False,936,62,,,
683,True,False,652,155,,,
684,True,False,847,46,,,
685,True,False,870,103,,,
686,True,False,905,46,,,
687,True,False,897,53,,,
688,True,False,672,110,,,
689,True,False,799,37,,,
690,True,False,980,61,,,
691,False,True,-33,200,,,
692,True,False,829,38,,,
693,False,True,162,48,,,
694,True,False,894,59,,,
695,True,False,764,32,,,
696,True,False,1043,76,,,
697,True,False,1041,68,,,
698,True,False,891,50,,,
699,True,False,1047,79,,,
700,True,False,909,52,,,
701,True,False,735,73,,,
702,True,False,989,78,,,
703,True,False,804,47,,,
704,False,True,109,40,,,
705,False,True,-21,49,,,
706,True,False,936,61,,,
707,True,False,926,50,,,
708,True,False,877,56,,,
709,True,False,1029,77,,,
710,True,False,902,49,,,
711,True,False,760,55,,,
712,True,False,887,45,,,
713,True,False,916,47,,,
714,True,False,968,53,,,
715,False,True,87,53,,,
716,True,False,927,49,,,
717,True,False,1124,65,,,
718,True,False,762,31,,,
719,True,False,906,48,,,
720,True,False,885,50,,,
721,True,False,760,33,,,
722,True,False,980,65,,,
723,True,False,819,50,,,
724,True,False,961,79,,,
725,True,False,754,34,,,
726,True,False,828,47,,,
727,False,True,133,60,,,
728,True,False,786,49,,,
729,False,True,33,32,,,
730,True,False,909,48,,,
731,True,False,845,45,,,
732,True,False,853,41,,,
733,True,False,728,27,,,
734,True,False,857,52,,,
735,False,True,172,51,,,
736,True,False,839,73,,,
737,True,False,784,30,,,
738,True,False,887,46,,,
739,True,False,1034,63,,,
740,True,False,980,54,,,
741,True,False,1029,62,,,
742,True,False,898,66,,,
743,True,False,795,40,,,
744,True,False,898,56,,,
745,True,False,562,98,,,
746,True,False,831,35,,,
747,True,False,774,36,,,
748,True,False,911,49,,,
749,True,False,987,61,,,
750,True,False,826,66,,,
751,True,False,656,85,,,
752,True,False,933,53,,,
753,True,False,821,34,,,
754,True,False,976,58,,,
755,True,False,728,94,,,
756,False,True,222,49,,,
757,True,False,943,73,,,
758,False,True,228,47,,,
759,True,False,911,48,,,
760,True,False,1020,61,,,
761,True,False,955,60,,,
762,True,False,1061,65,,,
763,True,False,727,31,,,
764,True,False,932,57,,,
765,True,False,1009,61,,,
766,False,True,-10,82,,,
767,True,False,886,50,,,
768,True,False,1058,67,,,
769,True,False,1005,55,,,
770,True,False,960,57,,,
771,True,False,959,49,,,
772,True,False,1065,62,,,
773,True,False,814,39,,,
774,True,False,1136,69,,,
775,True,False,760,37,,,
776,True,False,776,33,,,
777,True,False,976,63,,,
778,True,False,739,38,,,
779,True,False,852,46,,,
780,True,False,1038,60,,,
781,True,False,997,55,,,
782,True,False,890,91,,,
783,True,False,718,54,,,
784,True,False,800,40,,,
785,True,False,962,59,,,
786,True,False,987,61,,,
787,True,False,874,40,,,
788,True,False,944,50,,,
789,True,False,884,51,,,
790,True,False,819,40,,,
791,True,False,792,37,,,
792,True,False,756,32,,,
793,True,False,743,32,,,
794,True,False,384,98,,,
795,True,False,443,100,,,
796,True,False,793,39,,,
797,True,False,785,30,,,
798,True,False,920,80,,,
799,True,False,869,39,,,
800,True,False,867,37,,,
801,True,False,904,44,,,
802,True,False,936,50,,,
803,True,False,865,46,,,
804,True,False,764,32,,,
805,True,False,816,35,,,
806,True,False,802,34,,,
807,True,False,1009,59,,,
808,True,False,900,48,,,
809,True,False,839,34,,,
810,True,False,950,49,,,
811,True,False,1119,71,,,
812,True,False,930,44,,,
813,True,False,780,30,,,
814,True,False,792,32,,,
815,True,False,920,50,,,
816,True,False,951,52,,,
817,True,False,943,47,,,
818,True,False,1013,58,,,
819,True,False,848,36,,,
820,False,True,122,42,,,
821,True,False,923,43,,,
822,True,False,790,30,,,
823,True,False,1018,55,,,
824,False,True,206,44,,,
825,True,False,1088,59,,,
826,True,False,755,31,,,
827,True,False,1031,82,,,
828,True,False,738,28,,,
829,False,True,134,38,,,
830,False,True,-25,19,,,
831,True,False,865,39,,,
832,False,True,147,37,,,
833,True,False,944,48,,,
834,True,False,1148,69,,,
835,True,False,990,55,,,
836,False,True,162,44,,,
837,True,False,828,38,,,
838,True,False,987,56,,,
839,True,False,809,39,,,
840,True,False,1115,70,,,
841,True,False,786,36,,,
842,True,False,771,27,,,
843,True,False,778,36,,,
844,True,False,761,31,,,
845,True,False,777,35,,,
846,True,False,941,56,,,
847,True,False,822,38,,,
848,True,False,998,60,,,
849,True,False,1118,70,,,
850,False,True,191,52,,,
851,False,True,134,37,,,
852,True,False,1070,69,,,
853,True,False,809,48,,,
854,True,False,830,42,,,
855,True,False,824,35,,,
856,True,False,994,62,,,
857,True,False,1037,88,,,
858,False,True,29,27,,,
859,True,False,898,49,,,
860,True,False,751,30,,,
861,True,False,1083,153,,,
862,True,False,1043,83,,,
863,True,False,891,47,,,
864,False,True,243,74,,,
865,True,False,850,45,,,
866,False,True,-153,59,,,
867,True,False,1011,64,,,
868,False,True,268,75,,,
869,True,False,951,101,,,
870,True,False,1009,62,,,
871,True,False,1023,76,,,
872,True,False,854,41,,,
873,False,True,103,44,,,
874,True,False,895,48,,,
875,True,False,869,49,,,
876,True,False,891,51,,,
877,False,True,138,55,,,
878,True,False,877,48,,,
879,True,False,903,48,,,
880,True,False,1026,69,,,
881,True,False,1068,65,,,
882,True,False,1096,73,,,
883,False,True,138,37,,,
884,True,False,943,55,,,
885,True,False,744,29,,,
886,True,False,856,43,,,
887,True,False,874,48,,,
888,False,True,38,25,,,
889,True,False,920,53,,,
890,False,True,302,59,,,
891,True,False,916,46,,,
892,True,False,865,43,,,
893,True,False,833,43,,,
894,True,False,1049,76,,,
895,True,False,933,57,,,
896,False,True,111,73,,,
897,True,False,1098,67,,,
898,True,False,1053,57,,,
899,True,False,831,36,,,
900,True,False,1047,71,,,
901,True,False,953,48,,,
902,True,False,888,46,,,
903,False,True,84,33,,,
904,True,False,804,40,,,
905,True,False,796,33,,,
906,True,False,707,23,,,
907,True,False,780,39,,,
908,True,False,903,45,,,
909,True,False,721,23,,,
910,True,False,836,36,,,
911,True,False,866,41,,,
912,False,True,115,33,,,
913,True,False,891,45,,,
914,True,False,865,39,,,
915,True,False,797,43,,,
916,True,False,832,34,,,
917,True,False,733,59,,,
918,True,False,1086,73,,,
919,True,False,1014,54,,,
920,True,False,933,50,,,
921,True,False,810,32,,,
922,True,False,962,55,,,
923,True,False,993,51,,,
924,True,False,757,27,,,
925,True,False,892,44,,,
926,True,False,1248,176,,,
927,True,False,997,54,,,
928,True,False,809,36,,,
929,True,False,1009,54,,,
930,True,False,842,42,,,
931,True,False,872,55,,,
932,True,False,1307,156,,,
933,True,False,868,48,,,
934,True,False,1032,81,,,
935,True,False,946,62,,,
936,False,True,134,36,,,
937,False,True,166,42,,,
938,False,True,895,300,,,
939,False,True,284,67,,,
940,True,False,1016,58,,,
941,True,False,853,46,,,
942,True,False,868,70,,,
943,False,True,29,36,,,
944,True,False,866,42,,,
945,False,True,504,300,,,
946,True,False,904,84,,,
947,False,True,143,65,,,
948,True,False,1125,115,,,
949,True,False,890,44,,,
950,True,False,896,48,,,
951,True,False,984,152,,,
952,False,True,809,280,,,
953,False,True,239,99,,,
954,True,False,807,41,,,
955,True,False,812,35,,,
956,True,False,829,39,,,
957,True,False,933,56,,,
958,True,False,1052,62,,,
959,True,False,728,38,,,
960,False,True,381,161,,,
961,True,False,1097,90,,,
962,True,False,1121,67,,,
963,True,False,990,59,,,
964,True,False,879,103,,,
965,True,False,871,56,,,
966,True,False,895,53,,,
967,True,False,825,51,,,
968,True,False,919,50,,,
969,True,False,1379,209,,,
970,True,False,1023,64,,,
971,True,False,945,51,,,
972,True,False,779,30,,,
973,True,False,771,29,,,
974,False,True,78,154,,,
975,True,False,932,47,,,
976,False,True,1009,300,,,
977,True,False,1120,118,,,
978,True,False,1105,109,,,
979,True,False,808,35,,,
980,True,False,963,60,,,
981,True,False,880,54,,,
982,True,False,940,58,,,
983,True,False,957,98,,,
984,True,False,1033,85,,,
985,True,False,1007,65,,,
986,True,False,963,56,,,
987,True,False,889,59,,,
988,False,True,161,40,,,
989,True,False,1126,94,,,
990,True,False,981,63,,,
991,True,False,1276,200,,,
992,True,False,816,39,,,
993,True,False,901,59,,,
994,True,False,961,59,,,
995,False,True,327,124,,,
996,True,False,850,98,,,
997,True,False,1039,95,,,
998,False,True,201,87,,,
999,True,False,862,47,,,
1000,True,False,909,52,,,
1001,True,False,803,37,,,
1002,True,False,734,35,,,
1003,True,False,1103,135,,,
1004,False,True,91,59,,,
1005,False,True,272,58,,,
1006,True,False,782,38,,,
1007,True,False,805,47,,,
1008,False,True,253,49,,,
1009,True,False,961,80,,,
1010,True,False,1100,113,,,
1011,True,False,746,70,,,
1012,False,True,149,50,,,
1013,True,False,892,51,,,
1014,True,False,858,56,,,
1015,True,False,1030,92,,,
1016,True,False,1042,75,,,
1017,False,True,41,36,,,
1018,True,False,927,105,,,
1019,True,False,897,51,,,
1020,True,False,937,52,,,
1021,True,False,748,34,,,
1022,True,False,999,73,,,
1023,True,False,805,38,,,
1024,True,False,743,37,,,
1025,True,False,958,57,,,
1026,True,False,974,60,,,
1027,True,False,817,55,,,
1028,False,True,122,41,,,
1029,True,False,857,43,,,
1030,True,False,911,74,,,
1031,False,True,130,35,,,
1032,True,False,969,51,,,
1033,False,True,125,35,,,
1034,True,False,882,53,,,
1035,True,False,887,48,,,
1036,True,False,793,38,,,
1037,True,False,907,47,,,
1038,True,False,895,53,,,
1039,True,False,1034,61,,,
1040,True,False,867,37,,,
1041,True,False,825,62
